date;heure;GEN;GON;A1;RUR-SE;RN6;RAMBO;RUR_S;BOB;PA04C;VITRY;AUT;RUR_N;BP_EST
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;ug/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/10/2016;1;11;7;7;5;4;8;n/d;7;9;7;14;5;11
01/10/2016;2;9;8;9;6;2;9;n/d;4;13;7;18;7;12
01/10/2016;3;9;12;15;5;n/d;6;n/d;5;12;7;18;7;12
01/10/2016;4;9;11;18;4;n/d;5;n/d;n/d;8;5;13;4;9
01/10/2016;5;8;8;26;3;n/d;4;n/d;7;7;2;22;4;6
01/10/2016;6;11;5;21;2;n/d;3;n/d;10;9;6;20;3;11
01/10/2016;7;10;8;28;1;5;2;n/d;10;8;5;21;3;9
01/10/2016;8;6;9;15;0;4;3;n/d;7;7;1;13;7;7
01/10/2016;9;7;7;16;4;12;2;n/d;5;7;1;14;5;10
01/10/2016;10;7;10;21;7;7;4;2;6;10;4;21;7;9
01/10/2016;11;8;12;22;5;3;4;2;5;10;n/d;10;5;14
01/10/2016;12;4;9;17;4;6;1;2;6;10;1;10;3;17
01/10/2016;13;3;6;9;2;7;5;1;7;10;3;10;3;6
01/10/2016;14;4;5;12;3;11;4;n/d;4;9;n/d;14;2;10
01/10/2016;15;4;7;13;3;7;4;n/d;3;8;n/d;16;1;9
01/10/2016;16;3;8;16;1;9;5;n/d;4;8;2;8;0;8
01/10/2016;17;3;5;18;0;6;3;n/d;4;9;4;13;1;5
01/10/2016;18;3;6;12;0;5;2;n/d;4;8;4;10;n/d;5
01/10/2016;19;3;5;19;1;6;1;n/d;2;10;2;15;n/d;8
01/10/2016;20;4;5;12;3;6;3;1;4;12;5;7;n/d;8
01/10/2016;21;4;7;19;4;4;4;2;4;13;5;9;n/d;7
01/10/2016;22;3;7;13;2;3;4;n/d;5;12;3;8;5;11
01/10/2016;23;4;5;8;3;3;3;n/d;4;11;2;12;5;13
01/10/2016;24;5;6;15;2;4;n/d;n/d;5;8;5;11;2;7
02/10/2016;1;5;4;8;0;3;n/d;n/d;4;7;4;6;2;5
02/10/2016;2;3;11;6;0;2;3;3;3;5;1;5;4;6
02/10/2016;3;2;6;9;1;2;2;2;3;4;2;6;3;7
02/10/2016;4;1;1;8;3;2;n/d;2;2;4;4;7;3;5
02/10/2016;5;3;4;20;3;2;n/d;n/d;3;4;3;8;2;6
02/10/2016;6;3;7;2;0;2;1;n/d;4;4;4;5;1;9
02/10/2016;7;4;6;16;n/d;1;2;3;3;3;4;6;6;7
02/10/2016;8;4;3;10;2;3;1;2;n/d;4;3;7;7;5
02/10/2016;9;2;2;13;3;5;1;n/d;5;5;1;7;3;2
02/10/2016;10;4;6;11;3;5;4;1;6;6;1;8;1;6
02/10/2016;11;5;6;7;3;8;5;4;3;8;0;9;3;6
02/10/2016;12;5;5;18;4;7;7;3;n/d;8;3;13;4;3
02/10/2016;13;3;4;22;6;3;5;0;2;7;2;14;5;2
02/10/2016;14;4;4;7;5;6;5;2;2;8;1;8;4;6
02/10/2016;15;5;3;16;6;5;3;4;6;8;2;10;4;6
02/10/2016;16;5;3;6;4;7;5;3;5;7;1;15;3;6
02/10/2016;17;6;4;13;3;6;5;3;2;7;n/d;9;3;7
02/10/2016;18;6;7;17;3;7;2;3;5;9;2;16;4;8
02/10/2016;19;7;7;20;3;10;9;1;9;9;5;23;3;8
02/10/2016;20;12;8;23;2;13;14;2;10;10;9;28;2;9
02/10/2016;21;12;10;15;2;22;15;1;11;9;8;30;5;8
02/10/2016;22;11;10;16;3;25;16;3;13;8;7;18;5;11
02/10/2016;23;14;6;24;3;11;10;4;11;9;9;15;3;12
02/10/2016;24;15;8;21;3;8;8;6;10;9;10;17;4;10
03/10/2016;1;13;6;15;5;6;6;6;15;8;11;8;5;10
03/10/2016;2;11;5;15;5;8;5;5;12;9;7;8;4;14
03/10/2016;3;10;5;16;5;11;3;7;10;8;8;13;2;15
03/10/2016;4;10;8;19;9;16;5;6;15;8;9;19;0;21
03/10/2016;5;11;8;16;8;15;5;4;16;8;8;28;1;16
03/10/2016;6;11;10;27;8;17;6;4;19;9;12;27;5;30
03/10/2016;7;14;18;18;7;20;6;5;19;12;19;25;5;41
03/10/2016;8;16;16;27;10;20;10;5;27;14;10;17;6;36
03/10/2016;9;25;11;21;6;14;6;6;16;15;21;22;4;27
03/10/2016;10;19;11;11;15;8;4;5;14;15;n/d;30;2;18
03/10/2016;11;11;6;7;7;5;6;5;8;14;n/d;18;4;16
03/10/2016;12;5;3;6;5;7;4;3;6;12;n/d;11;8;11
03/10/2016;13;4;1;8;3;7;4;1;5;8;n/d;12;6;6
03/10/2016;14;5;3;7;2;4;7;2;4;8;n/d;15;4;9
03/10/2016;15;4;6;7;1;2;3;2;3;6;n/d;14;2;13
03/10/2016;16;5;5;7;2;2;3;5;2;6;n/d;11;2;13
03/10/2016;17;5;4;9;2;5;5;3;2;6;n/d;16;2;16
03/10/2016;18;6;10;13;6;9;2;2;3;8;2;8;8;20
03/10/2016;19;8;16;19;7;19;6;2;13;11;7;17;11;26
03/10/2016;20;10;11;15;7;20;8;1;17;14;14;14;7;25
03/10/2016;21;15;9;27;8;15;8;4;15;13;10;27;7;20
03/10/2016;22;16;12;25;5;16;6;5;15;12;9;27;8;21
03/10/2016;23;14;10;16;8;9;4;6;10;11;7;22;9;13
03/10/2016;24;9;7;11;5;8;4;6;15;11;7;19;5;19
04/10/2016;1;8;8;11;2;8;5;4;11;11;5;15;5;15
04/10/2016;2;10;9;7;2;9;4;3;8;14;3;10;9;16
04/10/2016;3;10;8;5;3;7;2;4;5;10;6;8;10;12
04/10/2016;4;10;7;10;3;6;6;5;10;11;6;18;8;19
04/10/2016;5;10;7;16;6;10;7;4;10;13;7;27;9;28
04/10/2016;6;11;7;21;7;15;5;3;10;13;7;26;7;26
04/10/2016;7;15;10;30;5;13;9;3;10;16;8;27;6;25
04/10/2016;8;18;9;28;10;22;13;6;13;17;15;29;8;25
04/10/2016;9;21;20;23;9;12;11;7;12;19;8;n/d;9;26
04/10/2016;10;18;10;17;9;8;9;5;8;18;14;n/d;7;21
04/10/2016;11;14;7;10;7;5;6;1;9;15;7;10;8;9
04/10/2016;12;9;6;11;5;5;4;2;5;11;1;10;6;15
04/10/2016;13;6;7;9;2;4;5;4;2;9;n/d;10;2;11
04/10/2016;14;5;4;7;1;6;5;2;3;7;1;9;1;8
04/10/2016;15;7;7;4;1;5;n/d;3;6;6;4;9;6;5
04/10/2016;16;5;5;3;0;2;n/d;2;6;6;5;6;6;6
04/10/2016;17;6;4;4;0;5;4;0;6;5;6;6;5;8
